WARNING 2026-02-08 22:23:31,569 log 1828 17488 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:31,570 log 1828 15312 Too Many Requests: /api/faculty/
WARNING 2026-02-08 22:23:31,573 log 1828 15312 Too Many Requests: /api/faculty/
WARNING 2026-02-08 22:23:31,770 log 1828 15312 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:31,771 log 1828 17488 Too Many Requests: /api/evaluation-forms/
WARNING 2026-02-08 22:23:31,774 log 1828 17488 Too Many Requests: /api/evaluation-forms/
WARNING 2026-02-08 22:23:31,978 log 1828 17488 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:32,216 log 1828 17488 Too Many Requests: /api/department-heads/2/
WARNING 2026-02-08 22:23:32,217 log 1828 15312 Too Many Requests: /api/audit-logs/
WARNING 2026-02-08 22:23:32,221 log 1828 15312 Too Many Requests: /api/audit-logs/
WARNING 2026-02-08 22:36:34,526 log 1828 21224 Bad Request: /api/department-head/login/
WARNING 2026-02-09 14:32:52,213 log 10692 21872 Bad Request: /api/department-head/login/
WARNING 2026-02-09 14:32:53,213 log 10692 21872 Bad Request: /api/department-head/login/
WARNING 2026-02-09 14:32:53,820 log 10692 21872 Bad Request: /api/department-head/login/
WARNING 2026-02-09 14:32:54,420 log 10692 21872 Bad Request: /api/department-head/login/
WARNING 2026-02-09 14:32:55,196 log 10692 21872 Bad Request: /api/department-head/login/
WARNING 2026-02-09 14:33:01,450 log 10692 21872 Too Many Requests: /api/department-head/login/
WARNING 2026-02-09 14:33:06,688 log 10692 21872 Too Many Requests: /api/department-head/login/
